"","Taxon","TaxonID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Hybrid","Subspecies","Variety","Source","CatalogueN","Collector","CollectionDate","Latitude","Longitude","Geo_Ref","PositionalAccuracy","Geoprivacy","PrivateLatitude","PrivateLongitude","Prov_State","Region","Location","LocationDescription","HabitatRemarks","Origin","Provincial.Status","National.Status"
"19578","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",24874156,"John D Reynolds","2019-05-05",48.871555,-123.3110583333,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19579","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",32125266,"Jason Headley","2019-05-04",48.8716866667,-123.3121033333,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19580","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",110820863,"Andrew Simon","2022-04-08",48.8982566667,-123.40112,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19581","Hyacinthoides × massartiana",863646,"Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Hyacinthoides","","Hyacinthoides × massartiana","","","iNaturalist",111111016,"Caitlin Robinson","2022-04-08",48.87159667,-123.31112833,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"19982","Iris × hybrida",857006,"Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Iris","","Iris × hybrida","","","iNaturalist",121538470,"Andrew Simon","2022-06-12",48.86883,-123.312175,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"22710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",2621438,"Lauren Magner","2015-05-28",48.926842,-123.469505,NA,174,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"22810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3040869,"Lauren Magner","2016-04-23",48.867549,-123.339915,NA,174,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"22910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3123049,"","2016-05-07",48.915906,-123.422921,NA,87,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3296788,"Lauren Magner","2016-05-14",48.915974,-123.424809,NA,201,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3317303,"Andrew Simon","2016-05-10",48.932774,-123.485298,NA,92,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23210","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3317563,"Andrew Simon","2016-05-13",48.932486,-123.483839,NA,87,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23310","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3542998,"Andrew Simon","2016-06-28",49.014175,-123.573768,NA,21,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23410","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3636542,"Andrew Simon","2016-07-05",48.898639,-123.338898,NA,45,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23510","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3652871,"Andrew Simon","2016-07-09",48.898304,-123.407278,NA,87,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23610","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3681832,"Andrew Simon","2016-07-13",48.958258,-123.532471,NA,181,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",3700980,"Andrew Simon","2016-07-18",48.898778456,-123.407680392,NA,40,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",6471904,"Ayla M","2017-05-25",48.8667974456,-123.381601274,NA,2064,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"23910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",6601045,"Ayla M","2017-05-28",48.9391641666,-123.500676602,NA,516,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",12755641,"Kevin Toomer","2018-05-20",48.867069,-123.337841,NA,87,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",13979975,"Kevin Toomer","2018-07-01",48.867831,-123.340163,NA,87,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24210","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",21351584,"","2019-03-17",48.958325,-123.5322283333,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24310","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24497736,"","2019-04-27",49.0129933333,-123.5725683333,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24410","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24609264,"Carmen Lea","2019-05-04",48.897963382,-123.406175673,NA,1052,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24510","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24688009,"Brian Starzomski","2019-05-04",48.8696444444,-123.3794027778,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24610","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24689165,"Kalina Hunter","2019-05-04",48.87180327,-123.31059156,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24697664,"Brian Starzomski","2019-05-04",48.8717805556,-123.3107083333,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24699123,"Jason Headley","2019-05-05",48.9576216667,-123.5414283333,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"24910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24701247,"Geneviève Reynolds","2019-05-05",48.8968388889,-123.4063416667,NA,16,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24701297,"Geneviève Reynolds","2019-05-05",48.8937416667,-123.4035722222,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24707945,"","2019-05-04",48.8717169548,-123.310786849,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25210","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24710817,"Lena Dietz Chiasson","2019-05-04",48.8721769536,-123.3117675317,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25310","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",24937357,"Lena Dietz Chiasson","2019-05-05",48.8957469073,-123.4104596638,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25410","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",25085329,"","2019-05-13",48.8676633333,-123.33905,NA,24,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25510","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",25200277,"Aimee Pelletier","2019-05-04",48.8992243074,-123.4075326194,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25610","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",25398442,"Kevin Toomer","2019-05-19",48.867679,-123.340271,NA,43,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",25476509,"Aimee Pelletier","2019-05-04",48.8987102453,-123.4068561998,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",25656979,"John D Reynolds","2019-05-05",48.8969722222,-123.4063722222,NA,11,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"25910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",26417500,"Nomadkris","2019-06-04",48.9332381962,-123.4864655045,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",30700007,"Caitlin Robinson","2019-08-11",48.9521368387,-123.5197335033,NA,6713,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",32128772,"Jason Headley","2019-05-04",48.901255,-123.4053333333,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26210","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",49134061,"","2020-05-27",48.938255,-123.49971667,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26310","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",49627597,"","2020-06-14",48.9523315849,-123.5192757939,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26410","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",49684541,"","2020-06-12",48.87178833,-123.310495,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26510","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",53022052,"Andrew Simon","2020-07-12",48.8870416667,-123.3738883333,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26610","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",62565128,"","2020-10-06",48.9331026882,-123.4865217638,NA,94,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",66238960,"Megan Sakuma","2016-09-15",48.9541972222,-123.5240555556,NA,10,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",83604933,"Riley Cameron","2021-06-12",49.0109231812,-123.5754995048,NA,1477,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"26910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",83854768,"Alina Fisher","2021-06-20",48.9286384788,-123.4685171124,NA,95,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84001197,"","2021-06-21",48.9272703709,-123.469823422,NA,59,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84009998,"M.","2021-06-21",48.9306887967,-123.4689507633,NA,135,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27210","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84061930,"Lisa Angstadt","2021-06-22",48.9282914556,-123.4679527391,NA,165,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27310","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84312924,"","2021-06-23",48.9267666667,-123.4662866667,NA,13,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27410","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84498768,"Shania LaFreniere","2021-06-25",48.929925,-123.46785,NA,65,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27510","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84580817,"","2021-06-26",48.9312033333,-123.4757833333,NA,24,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27610","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84652930,"","2021-06-26",48.931145,-123.4757,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",84750625,"","2021-06-27",48.9286616667,-123.4681866667,NA,6,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",89269013,"","",48.8988544966,-123.4075435996,NA,324,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"27910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",100641898,"Andrew Simon","2021-11-08",48.9912835338,-123.5517990507,NA,9,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",102152766,"","2021-10-10",48.8960892882,-123.3834805215,NA,3642,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",117203500,"Ian Guthrie","2022-05-06",48.9573267916,-123.530194117,NA,303,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28210","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",121541608,"","2022-06-12",48.9298216667,-123.467955,NA,12,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28310","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",122839820,"","2021-06-18",48.871905,-123.3113633333,NA,30,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28410","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",123185341,"Ava Cooper","2022-06-14",48.9299440689,-123.4662310034,NA,182,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28510","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",123934586,"Andrew Simon","2022-06-24",49.0132166667,-123.5731183333,NA,25,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28610","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",126114215,"","2022-07-13",48.8985042307,-123.4079161359,NA,4,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28710","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",126354480,"Robyn Hanson","2022-07-12",48.8970916667,-123.40528,NA,5,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28810","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",129443855,"","2022-06-21",48.8717616667,-123.3108533333,NA,16,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"28910","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",129712571,"Caitlin Robinson","2022-08-04",48.8953366667,-123.3920616667,NA,16,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"29010","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",131413514,"","2022-08-18",48.896745,-123.4063333333,NA,8,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"29110","Achillea millefolium",52821,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","millefolium","","","","iNaturalist",135832827,"Caitlin Robinson","2022-09-19",48.8983833333,-123.40213,NA,16,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"523","Aesculus hippocastanum",84298,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","hippocastanum","","","","iNaturalist",3329680,"Andrew Simon","2016-05-13",48.930614,-123.474698,NA,184,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"524","Aesculus hippocastanum",84298,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","hippocastanum","","","","iNaturalist",118330339,"","2022-05-20",48.9311209167,-123.4746698056,NA,NA,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"525","Aesculus hippocastanum",84298,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","hippocastanum","","","","iNaturalist",121635368,"","2022-06-11",48.90973358,-123.4120804,NA,6,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"526","Agrostis capillaris",75312,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","capillaris","","","","iNaturalist",13845807,"Andrew Simon","2018-06-27",48.8699774017,-123.3453869355,NA,95,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"527","Agrostis capillaris",75312,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","capillaris","","","","iNaturalist",52907413,"","2020-07-10",48.9300984393,-123.4672240378,NA,16,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
"528","Agrostis capillaris",75312,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","capillaris","","","","iNaturalist",52922636,"","2020-07-10",48.9302124665,-123.4673860172,NA,32,"",NA,NA,"British Columbia","Gulf Islands","Galiano Island",NA,NA,"exotic","unlisted",""
